"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda[11]",0.382706910097969,0.0115270381109217,0.359435842449158,0.375378177227286,0.382909706794826,0.390551982571149,0.406042289468801,1.00190756357824,500
"lambda[12]",0.382686099440377,0.0115263970432145,0.359410251846679,0.375362984977966,0.382893377223075,0.390530841142434,0.406018064367841,1.00191400789355,500
"lambda[13]",0.382450994803936,0.0115193746760629,0.359138957792806,0.375137793472388,0.382695711205038,0.390289967094224,0.405748846410397,1.00196760807166,500
"lambda[14]",0.379781637488183,0.0114463225771951,0.356218670237897,0.372650268161463,0.380193911337206,0.387548637342239,0.402756973452846,1.00237201914672,500
"lambda[15]",0.349321898435423,0.0107870252062872,0.326680925565163,0.342030218533481,0.34999589407703,0.356385152271304,0.369600412838549,1.00492587560538,330
"lambda[16]",0,0,0,0,0,0,0,1,1
"multP[1]",0.000320150778246203,0.000255567528076324,4.43469059251516e-05,0.000143514669448337,0.000266098239611473,0.000417912150861237,0.00100099287920865,1.01352192859868,160
"multP[2]",0.000801134902942777,0.000352351498377313,0.000288416622316988,0.000541001968332549,0.000740872455181025,0.00100298836360454,0.00165239553244272,0.999031828102249,500
"multP[3]",0.0018809750732834,0.000529144197057433,0.00093998352705888,0.0014976808693281,0.00185347493965039,0.00220598771155019,0.00296389001262667,0.999768489088279,500
"multP[4]",0.0236144730474856,0.00185250576916529,0.0198619679814448,0.0223203859978391,0.0236569241199823,0.0248619663462036,0.027354264005498,0.999334553530164,500
"multP[5]",0.0567824738312319,0.00295435716620844,0.0517074479202816,0.0546318728668562,0.0566302041357112,0.0585338667261771,0.0630169646382399,1.0062394008952,380
"multP[6]",0.0786801783429745,0.00347837614324758,0.0723378678252697,0.0761592796395853,0.0786429350581478,0.0811147320335761,0.0854549621183019,1.00453889888508,390
"multP[7]",0.0598911486403837,0.00293185113843902,0.054506005492621,0.0579028380960164,0.0599354773805309,0.0619180914294073,0.0655374703650276,1.00290488029029,500
"multP[8]",0.0316425469172283,0.0022794259818425,0.0274495377418197,0.030002723711024,0.0315399871077542,0.0333170977000337,0.0360657245986646,1.00033790015992,500
"multP[9]",0.0486135267948649,0.00274545586537291,0.0436389669563213,0.0467861653450379,0.0485107593328928,0.0504958559315087,0.0541777457949697,1.00241102903549,500
"multP[10]",0.0433362726526623,0.00252621136870964,0.0382893467564765,0.0416407161471557,0.04315173175989,0.0449306014572125,0.0485340624899526,1.00003542063946,500
"multP[11]",0.166198684143028,0.00455516889088402,0.157374384797501,0.163278833132155,0.166429568094217,0.169071715043321,0.175649839510871,1.0043818184531,500
"multP[12]",0.214290611561126,0.00522338471751555,0.204403168018631,0.210842329838556,0.214258215881555,0.217691934657253,0.224973776369744,0.999436105623162,500
"multP[13]",0.171279067606252,0.00460545007809904,0.16282297585513,0.168104664102488,0.171205499498865,0.174714736621283,0.179926893852589,1.00171496247665,500
"multP[14]",0.015119914683513,0.00107720637890826,0.0130343112406072,0.0143995974402051,0.0150744809924354,0.0158366956138592,0.0172919602028017,1.0121419459231,180
"multP[15]",0.0799660129064673,0.00324135618601345,0.073796663560264,0.0777664839713625,0.0800134719911952,0.0821416726463142,0.0862561324609591,0.998802123601875,500
"multP[16]",0.00758282811830934,0.000688911688895273,0.00642349043373085,0.00707103775032201,0.00756065651572727,0.00801683818441362,0.00897170294781807,1.00610490642688,310
"p",0.800159597927293,0.0133381054090276,0.772787493024399,0.791114305825439,0.801046836519786,0.809612756530065,0.824567607237129,1.01407497751001,150
"phi",0.436560830381205,0.0111889281816536,0.414354271979885,0.429185874289897,0.436581019731525,0.444212549292787,0.457782922824275,0.998629509553864,500
"tau[1]",0.912761068054218,0.00619288174097077,0.900112229338232,0.90857437340283,0.913061027264378,0.917087493322586,0.925131118571093,1.01057287016315,200
