Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,DNA_Sample_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Female,69,AD,,04930-2,1,88,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,70,AD,,04930-3,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,71,AD,,04930-4,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,74,AD,,04930-5,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,,,2,4,Male,73,AD,,04930-6,1,88,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 2,6522a,6522b,blank,,Female,89,AD,,04929-6522,1,88,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6523a,6523b,blank,,Female,69,AD,,04929-6523,1,41,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6524a,6524b,blank,,Female,73,AD,,04929-6524,1,41,D-,,,,,,,05-Oct-22,6524a,6524b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6525a,6525b,blank,,Female,78,UM,,04929-6525,1,41,D-,,,,,22LP006,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6526a,6526b,blank,,Female,79,UM,,04929-6526,1,41,D-,,,,,22LP007,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6527a,6527b,blank,,Female,75,AD,,04929-6527,1,41,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6528a,6528b,blank,,Female,73,AD,,04929-6528,1,41,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6529a,6529b,0,,Female,64,AD,CWT00054247,04929-6529,1,42,D,,,637479,1,,,,,,,2018,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF 27.0168,AD Fin Clp,LEWIS RIVER HATCHERY,20191001,20191017,32798
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6530a,6530b,0,,Female,68,AD,CWT00054248,04833-6530,1,88,D-,,,637144,1,,,,,,,2016,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF 27.0168,AD Fin Clp,LEWIS RIVER HATCHERY,20171005,20171025,99078
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6531a,6531b,blank,,Female,83,AD,,04833-6531,1,88,D-,,,,,,,10-Oct-22,6531a,6531b,NFL 5,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6532a,6532b,blank,,Female,74,AD,,04833-6532,1,88,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6533a,6533b,blank,,Female,77,AD,,04833-6533,1,88,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 2,6534a,6534b,blank,,Female,73,UM,,04833-6534,1,31,D-,,,,,22LP008,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6535a,6535b,blank,,Female,69,AD,,04833-6535,1,41,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6536a,6536b,blank,,Male,62,UM,,04833-6536,1,41,D,,,,,22LP009,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6537a,6537b,blank,,Male,90,AD,,04833-6537,1,52,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6538a,6538b,blank,,Male,89,AD,,04833-6538,1,52,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 2,6539a,6539b,blank,,Male,87,AD,,04833-6539,1,88,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,27-Sep-22,NFL 2,6540a,6540b,blank,,Male,74,AD,,04833-6540,1,41,D-,,,,,,,12-Oct-22,6540a,6540b,NFL 1,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6541a,6541b,blank,,Jack,48,AD,,04833-6541,1,88,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,27-Sep-22,NFL 2,6542a,6542b,blank,,Male,62,AD,,04833-6542,1,31,D-,,,,,,,,,,,,,,,,,,,,,
